episode,total_reward,avg_reward_per_decision,epsilon
271,-89966.0,-918.0204,0.443
272,-86614.0,-832.8269,0.4417
273,-99529.0,-966.301,0.4403
274,-96979.0,-979.5859,0.439
275,-105541.0,-1088.0515,0.4377
276,-97257.0,-1023.7579,0.4364
277,-86508.0,-801.0,0.4351
278,-88360.0,-892.5253,0.4338
279,-111193.0,-1100.9208,0.4325
280,-97224.0,-1023.4105,0.4312
281,-108651.0,-1065.2059,0.4299
282,-79484.0,-756.9905,0.4286
283,-104682.0,-978.3364,0.4273
284,-99725.0,-1017.602,0.426
285,-100014.0,-1041.8125,0.4247
286,-102057.0,-1020.57,0.4235
287,-92157.0,-894.7282,0.4222
288,-102261.0,-1043.4796,0.4209
289,-109630.0,-1154.0,0.4197
290,-91594.0,-925.1919,0.4184
291,-80958.0,-763.7547,0.4171
292,-96593.0,-975.6869,0.4159
293,-95071.0,-990.3229,0.4146
294,-94184.0,-888.5283,0.4134
295,-102578.0,-1036.1414,0.4122
296,-100578.0,-1026.3061,0.4109
297,-95121.0,-941.7921,0.4097
298,-96797.0,-948.9902,0.4085
299,-89353.0,-893.53,0.4072
300,-98242.0,-992.3434,0.406
301,-100645.0,-1006.45,0.4048
302,-102962.0,-971.3396,0.4036
303,-106757.0,-1046.6373,0.4024
304,-106793.0,-1078.7172,0.4012
305,-99161.0,-935.4811,0.4
306,-89068.0,-856.4231,0.3988
307,-93077.0,-903.6602,0.3976
308,-84184.0,-809.4615,0.3964
309,-96759.0,-967.59,0.3952
310,-95522.0,-974.7143,0.394
311,-95287.0,-882.287,0.3928
312,-87817.0,-887.0404,0.3916
313,-97079.0,-907.2804,0.3905
314,-99388.0,-974.3922,0.3893
315,-104455.0,-1034.2079,0.3881
316,-82848.0,-863.0,0.387
317,-105226.0,-1041.8416,0.3858
318,-104151.0,-1052.0303,0.3846
319,-98082.0,-899.8349,0.3835
320,-99345.0,-993.45,0.3823
321,-115507.0,-1121.4272,0.3812
322,-97826.0,-1019.0208,0.3801
323,-93572.0,-945.1717,0.3789
324,-97207.0,-1002.134,0.3778
325,-96340.0,-917.5238,0.3766
326,-89638.0,-896.38,0.3755
327,-89353.0,-842.9528,0.3744
328,-95431.0,-900.2925,0.3733
329,-96044.0,-881.1376,0.3721
330,-99146.0,-944.2476,0.371
331,-106155.0,-1020.7212,0.3699
332,-95533.0,-901.2547,0.3688
333,-96627.0,-929.1058,0.3677
334,-87512.0,-841.4615,0.3666
335,-113500.0,-1101.9417,0.3655
